rank,brand,title,price,original_price,discount_rate,rating,review_count,url
412,설화수,"윤조에센스, 자음2종, 탄력3종 최대 혜택",187695,,12,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000054347977
413,입생로랑,[상품권] 메쉬 핑크 쿠션 세트(+러브누드 립 미니어처 1호),92340,,10,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000541554806
414,애경,"산업 세탁, 주방, 덴탈 모음전",14453,,3,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000702772796
415,코웨이,본사직영 2026 코웨이 렌탈 최대 84만 SSG머니 + 타사보상 10% + 패키지 최대 15%,0,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000068995682
416,,자연주의 가공식품 행사,17800,,28,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000628232234
417,수목제지,트루마리 화장지 시리즈,31255,,5,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000708179649
418,코오롱스포츠,아웃도어 잡화 모자/가방 모음! 50종택1,24057,,10,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000049731481
419,,모락셀라/퍼실 액체/캡슐세제 ~1+1 (4/16~29),28900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000817760385
420,삼성,[쓱설치] AI Q9000 에어컨 AF60F19D11GRT 홈멀티형 [기본설치비무료],1990000,,22,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000675786619
421,농협안심한우,[무료배송] 농협안심한우 단품  골라담기,17900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000041955038
422,신세계푸드,행사상품 모음전,9980,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000817947891
423,JJ지고트,인기 리오더 상품 모음  3만원대 찬스!,32390,,59,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000068501920
424,,[해태제과] 과자/간식 GS칼텍스/이마트 쿠폰 응모 이벤트,12580,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000818587621
425,나이키,[나이키코리아공식]BEST전품목한정수량선착순~50%SALE,76160,,36,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000216223687
426,올품,[쓱7클럽] IQF 닭윗날개(봉) 1kg X 2봉,17500,,30,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000817573457
427,크록스,바야밴드 클로그 외 BEST 특가 모음,43120,,20,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000674159455
428,,[대상웰라이프] 뉴케어/올프로틴 행사,33900,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000699250713
429,프라다 뷰티,프라다 BEST 아이템,115000,,0,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000616923411
430,헬렌카민스키,SSG 단독 아울렛 특가 최대 50%+추가혜택,144500,,37,0,0,https://www.ssg.com/item/itemView.ssg?itemId=1000619832840
